dataset,fid,raas_inference_ms,raas_postprocess_ms,sam_generate_ms,sam_postprocess_ms,oasc_ms,global_fusion_ms,mbp_ms,objectomaly_refine_ms,end_to_end_compute_ms
ObstacleTrack-all,validation_34,2633.836457040161,22.132189013063908,21584.664249094203,15885.027885902673,2081.799539970234,8837.330783950165,1373.1093020178378,12292.239625938237,52417.90040698834
ObstacleTrack-all,validation_35,3493.925395887345,9.364865953102708,24919.583515962586,17126.271418994293,3481.4305608160794,9699.053564108908,2450.9079998824745,15631.392124807462,61180.53732160479
ObstacleTrack-all,validation_36,3885.757273994386,9.853587951511145,33630.339889088646,12335.866190958768,2543.092360952869,7298.69332909584,1525.6351558491588,11367.420845897868,61229.23778789118
ObstacleTrack-all,validation_37,3511.1905781086534,12.76339404284954,23592.877862975,21034.16015091352,3274.7393851168454,9281.656346982345,2076.1425639502704,14632.53829604946,62783.53028208949
ObstacleTrack-all,validation_38,3311.6418179124594,15.953829977661371,24778.989357175305,15647.858449956402,2275.1507798675448,9654.495029011741,1696.4700759854168,13626.115884864703,57380.55933988653
ObstacleTrack-all,validation_39,3408.6569261271507,62.57927301339805,24724.81749788858,16745.968339964747,2352.822189917788,8425.582173047587,1134.914489928633,11913.318852894008,56855.340889887884
ObstacleTrack-all,validation_4,3200.6769890431315,37.53080288879573,28599.507343024015,2902.5701710488647,866.1587939132005,3481.0007819905877,367.6070130895823,4714.7665889933705,39455.05189499818
ObstacleTrack-all,validation_40,2515.1639520190656,32.185418996959925,28624.20930597,14846.20682685636,2330.392689909786,7575.868362793699,1162.5171259511262,11068.778178654611,57086.543682496995
ObstacleTrack-all,validation_5,4089.2281350679696,32.14641218073666,22253.934636944905,7193.66582785733,1776.244536973536,4750.813336111605,654.1198908817023,7181.1777639668435,40750.152776017785
ObstacleTrack-all,validation_6,3666.5308650117368,9.247113019227982,22426.38222593814,4750.453229062259,1746.7242861166596,10682.063627056777,1090.0394471827894,13518.827360356227,44371.44079338759
ObstacleTrack-all,validation_7,3804.37940498814,20.70025890134275,26666.922360891476,3485.2509000338614,1279.3506998568773,3091.420946875587,514.8675949312747,4885.639241663739,38862.89216647856
ObstacleTrack-all,validation_8,2808.052883017808,8.924867957830429,16309.916737955064,7988.273314898834,1837.0121507905424,7819.718475919217,857.3282219003886,10514.058848610148,37629.226652439684
ObstacleTrack-all,validation_9,2416.7400989681482,10.367393027991056,24864.96151681058,7447.205242002383,2355.645162984729,12146.826325915754,921.7640520073473,15424.23554090783,50163.50979171693
