run,frames,AP,AUROC,FPR95,Precision,Recall,F1,sIoU_gt,PPV,F1*
raas_distill / road_anomaly,60,75.5901,96.3571,19.0602,67.7086,81.2080,73.8464,33.1594,47.8250,38.2385
ooddino / road_anomaly,60,31.8870,66.9948,92.3720,78.3411,35.1847,48.5600,19.1163,68.3002,30.9056
